"PLAYER","POS","LG","TEAM","AGE","$$$","PA","AB","IP","HR","RBI","SB","AVG","W","SV","ERA","WHIP"
"Kobayashi, Masahide","RP","AL","CLE","34","$1.21","","","50","","","","","2","9","4.85","1.46",
"Everett, Adam","SS","AL","MIN","31","$1.15","431","398","","4","36","7","0.234","","","","",
"Guerrier, Matt","RP","AL","MIN","29","$1.13","","","65","","","","","2","3","4.01","1.37",
"Saltalamacchia, Jarrod","C,1B","AL","TEX","23","$1.03","252","225","","8","33","1","0.269","","","","",
"Johnson, Reed","LF","AL","TOR","31","$0.99","317","286","","5","31","3","0.262","","","","",
"Linebrink, Scott","RP","AL","CHA","31","$0.96","","","65","","","","","3","2","4.17","1.37",
"Dotel, Octavio","RP","AL","CHA","34","$0.94","","","50","","","","","2","4","4.18","1.35",
"Callaspo, Alberto","2B","AL","KCA","25","$0.94","314","284","","3","29","3","0.272","","","","",
"Devine, Joey","RP","AL","OAK","24","$0.84","","","65","","","","","3","3","3.90","1.46",
"Hinske, Eric","1B,LF","AL","TBA","30","$0.82","279","243","","8","32","4","0.239","","","","",
"Bale, John","RP","AL","KCA","34","$0.78","","","55","","","","","2","3","3.94","1.38",
"Murphy, Donald","SS","AL","OAK","25","$0.70","275","250","","7","32","4","0.241","","","","",
"Willits, Reggie","LF,CF,RF","AL","LAA","27","$0.63","204","176","","1","15","8","0.269","","","","",
"Logan, Boone","RP","AL","CHA","23","$0.56","","","50","","","","","2","2","3.84","1.35",
"Rodney, Fernando","RP","AL","DET","31","$0.53","","","40","","","","","2","2","3.68","1.31",
"Suzuki, Kurt","C","AL","OAK","24","$0.49","401","356","","6","42","2","0.243","","","","",
"Denorfia, Chris","CF","AL","OAK","27","$0.41","254","227","","4","26","4","0.262","","","","",
"Rincon, Juan","RP","AL","MIN","29","$0.29","","","55","","","","","2","2","3.92","1.39",
"Littleton, Wes","RP","AL","TEX","25","$0.20","","","55","","","","","2","2","4.03","1.38",
"Fultz, Aaron","RP","AL","CLE","34","$0.19","","","50","","","","","2","2","3.92","1.38",
"Thornton, Matt","RP","AL","CHA","31","$0.14","","","60","","","","","2","3","4.19","1.42",
"Seay, Bobby","RP","AL","DET","30","$0.13","","","55","","","","","2","2","3.99","1.39",
"Lewis, Jensen","RP","AL","CLE","24","$0.13","","","50","","","","","2","2","3.99","1.37",
"Morrow, Brandon","RP","AL","SEA","23","$0.09","","","55","","","","","2","2","3.76","1.43",
"Monroe, Craig","LF","AL","MIN","31","$0.07","274","249","","8","36","1","0.245","","","","",
"O'Flaherty, Eric","RP","AL","SEA","23","$0.05","","","45","","","","","1","2","3.78","1.33",
"Johnson, Daniel","1B","AL","OAK","28","$0.01","280","238","","8","35","0","0.254","","","","",
"Sweeney, Ryan","LF","AL","OAK","23","$0.00","242","217","","4","26","3","0.263","","","","",
"Bonser, Boof","SP","AL","MIN","26","$0.00","","","150","","","","","7","0","4.83","1.45",
"Costa, Shane","RF","AL","KCA","26","$-0.02","214","194","","3","24","3","0.276","","","","",
"Bulger, Jason","RP","AL","LAA","29","$-0.02","","","50","","","","","2","3","3.93","1.45",
"Miller, Trever","RP","AL","TBA","35","$-0.07","","","45","","","","","2","2","4.07","1.37",
"Schilling, Curt","SP","AL","BOS","41","$-0.09","","","50","","","","","3","0","4.33","1.31",
"Rowland-Smith, Ryan","RP","AL","SEA","25","$-0.15","","","50","","","","","2","2","4.13","1.39",
"Marcum, Shaun","SP","AL","TOR","26","$-0.21","","","145","","","","","7","0","4.94","1.44",
"Span, Keiunta","CF","AL","MIN","24","$-0.22","190","172","","0","13","7","0.269","","","","",
"Crain, Jesse","RP","AL","MIN","26","$-0.23","","","45","","","","","1","1","3.79","1.32",
"Zaun, Gregg","C","AL","TOR","37","$-0.25","308","266","","7","35","0","0.252","","","","",
"Bloomquist, Willie","2B,3B,SS","AL","SEA","30","$-0.26","200","180","","1","15","7","0.256","","","","",
"Pridie, Jason","CF","AL","MIN","24","$-0.27","190","175","","3","19","5","0.259","","","","",
"Wasserman, Ehren","RP","AL","CHA","27","$-0.31","","","55","","","","","2","2","4.11","1.43",
"Zumaya, Joel","RP","AL","DET","23","$-0.39","","","30","","","","","1","1","3.45","1.26",
"Hannahan, Jack","3B","AL","OAK","28","$-0.39","253","217","","6","28","2","0.250","","","","",
"Balentien, Wladimir","DH","AL","SEA","23","$-0.40","209","187","","6","25","4","0.235","","","","",
"Wakefield, Tim","SP","AL","BOS","41","$-0.41","","","140","","","","","8","0","4.99","1.46",
"Glover, Gary","RP","AL","TBA","31","$-0.42","","","45","","","","","2","1","4.12","1.36",
"Lind, Adam","LF","AL","TOR","24","$-0.45","203","184","","6","26","1","0.266","","","","",
"Hoey, James","RP","AL","BAL","25","$-0.46","","","60","","","","","2","3","4.44","1.44",
"Francisco, Frank","RP","AL","TEX","28","$-0.48","","","65","","","","","2","2","4.22","1.44",
"Salas, Juan","RP","AL","TBA","29","$-0.48","","","50","","","","","2","1","4.15","1.38",
"Timlin, Mike","RP","AL","BOS","42","$-0.50","","","55","","","","","2","1","4.36","1.36",
"Punto, Nick","2B,3B,SS","AL","MIN","30","$-0.56","284","252","","1","20","7","0.238","","","","",
"Fukumori, Kazuo","RP","AL","TEX","31","$-0.65","","","50","","","","","2","8","4.89","1.62",
"MacDougal, Mike","RP","AL","CHA","31","$-0.66","","","50","","","","","2","2","4.04","1.46",
"Britton, Chris","RP","AL","NYA","25","$-0.67","","","50","","","","","2","1","4.28","1.38",
"Calero, Kiko","RP","AL","OAK","33","$-0.68","","","50","","","","","2","2","4.23","1.44",
"Hernandez, Luis","SS","AL","BAL","24","$-0.69","370","345","","1","26","6","0.236","","","","",
"Rogers, Kenny","SP","AL","DET","43","$-0.77","","","90","","","","","5","0","4.67","1.46",
"Morales, Kendry","1B","AL","LAA","25","$-0.80","201","186","","5","27","0","0.274","","","","",
"Wood, Brandon","SS","AL","LAA","23","$-0.93","161","145","","5","22","3","0.250","","","","",
"Gonzalez, Gio","SP","AL","OAK","22","$-0.95","","","75","","","","","4","0","4.48","1.46",
"Gibbons, Jay","LF,DH","AL","BAL","31","$-0.97","206","187","","6","27","0","0.263","","","","",
"Betemit, Wilson","3B","AL","NYA","26","$-0.99","195","172","","6","26","1","0.255","","","","",
"Mastny, Thomas","RP","AL","CLE","27","$-1.03","","","50","","","","","2","1","4.12","1.44",
"Shelton, Chris","1B","AL","TEX","28","$-1.05","201","174","","6","25","1","0.256","","","","",
"Olivo, Miguel","C","AL","KCA","29","$-1.06","190","180","","5","23","3","0.242","","","","",
"Bynum, Freddie","LF","AL","BAL","28","$-1.13","168","154","","2","15","6","0.242","","","","",
"Litsch, Jesse","SP","AL","TOR","23","$-1.21","","","140","","","","","7","0","5.03","1.47",
"Grilli, Jason","RP","AL","DET","31","$-1.21","","","70","","","","","3","1","4.52","1.47",
"Bradford, Chad","RP","AL","BAL","33","$-1.26","","","60","","","","","2","2","4.40","1.48",
"Ruggiano, Justin","RF","AL","TBA","26","$-1.31","152","135","","4","17","4","0.246","","","","",
"Green, Sean","RP","AL","SEA","29","$-1.32","","","50","","","","","2","1","3.98","1.49",
"Lee, Cliff","Swing","AL","CLE","29","$-1.34","","","95","","","","","5","0","4.95","1.45",
"Saunders, Joseph","SP","AL","LAA","27","$-1.35","","","150","","","","","8","0","4.92","1.50",
"Contreras, Jose","SP","AL","CHA","36","$-1.38","","","135","","","","","7","0","5.01","1.48",
"Cruceta, Francisco","RP","AL","DET","26","$-1.43","","","60","","","","","3","1","4.42","1.49",
"Byrd, Paul","SP","AL","CLE","37","$-1.46","","","120","","","","","6","0","5.13","1.44",
"Dohmann, Scott","RP","AL","TBA","30","$-1.47","","","45","","","","","2","1","4.31","1.44",
"Baek, Cha","Swing","AL","SEA","28","$-1.54","","","85","","","","","3","0","4.80","1.42",
"Mujica, Edward","RP","AL","CLE","24","$-1.63","","","25","","","","","1","1","4.16","1.32",
"Batista, Miguel","SP","AL","SEA","37","$-1.64","","","155","","","","","7","0","4.77","1.52",
"Aquino, Greg","RP","AL","BAL","30","$-1.64","","","55","","","","","2","2","4.53","1.49",
"Vazquez, Ramon","3B","AL","TEX","31","$-1.66","282","245","","4","24","2","0.243","","","","",
"Casilla, Alexi","2B","AL","MIN","23","$-1.76","127","115","","0","8","6","0.265","","","","",
"Feldman, Scott","RP","AL","TEX","25","$-1.98","","","55","","","","","2","1","4.37","1.50",
"Guardado, Eddie","RP","AL","TEX","37","$-1.99","","","40","","","","","1","1","4.53","1.39",
"Reyes, Dennis","RP","AL","MIN","31","$-2.01","","","45","","","","","1","2","3.91","1.56",
"Nunez, Leonel","RP","AL","KCA","24","$-2.07","","","70","","","","","3","0","4.99","1.42",
"Blevins, Jerry","RP","AL","OAK","24","$-2.08","","","55","","","","","2","1","4.70","1.45",
"Veras, Jose","RP","AL","NYA","27","$-2.08","","","50","","","","","2","2","4.68","1.50",
"Balfour, Grant","RP","AL","TBA","30","$-2.18","","","45","","","","","2","2","4.59","1.53",
"Bootcheck, Chris","RP","AL","LAA","29","$-2.23","","","45","","","","","2","1","4.57","1.48",
"Oliver, Darren","RP","AL","LAA","37","$-2.25","","","40","","","","","1","1","4.41","1.44",
"Tallet, Brian","RP","AL","TOR","30","$-2.32","","","50","","","","","2","1","4.72","1.47",
"Hawkins, La Troy","RP","AL","NYA","35","$-2.39","","","55","","","","","2","1","4.63","1.49",
"Albaladejo, Jonathan","RP","AL","NYA","25","$-2.41","","","45","","","","","2","0","4.62","1.44",
"Hammel, Jason","SP","AL","TBA","25","$-2.43","","","45","","","","","2","0","4.64","1.44",
"Miner, Zachary","Swing","AL","DET","26","$-2.44","","","85","","","","","4","0","4.67","1.52",
"Eveland, Dana","SP","AL","OAK","24","$-2.45","","","85","","","","","4","0","4.69","1.52",
"Colon, Bartolo","SP","AL","BOS","35","$-2.45","","","35","","","","","2","0","4.80","1.41",
"Huber, Jonathan","RP","AL","SEA","26","$-2.47","","","30","","","","","1","1","4.41","1.45",
"Byrdak, Tim","RP","AL","DET","34","$-2.53","","","50","","","","","2","1","4.49","1.53",
"Mccarthy, Brandon","SP","AL","TEX","24","$-2.53","","","110","","","","","5","0","5.08","1.48",
"Lopez, Javier","RP","AL","BOS","30","$-2.54","","","45","","","","","2","1","4.41","1.54",
"Perez, Oneli","RP","AL","CHA","25","$-2.57","","","45","","","","","2","0","4.60","1.46",
"Bowen, Rob","C","AL","OAK","27","$-2.58","215","187","","5","23","1","0.234","","","","",
"Mahay, Ron","RP","AL","KCA","37","$-2.64","","","45","","","","","1","2","4.53","1.52",
"Mcdonald, John","SS","AL","TOR","33","$-2.73","152","138","","1","12","4","0.246","","","","",
"Mathis, Jeffrey","C","AL","LAA","25","$-2.80","190","172","","4","22","1","0.238","","","","",
"Jackson, Edwin","SP","AL","TBA","24","$-2.80","","","100","","","","","5","0","4.93","1.52",
"Braun, Ryan","RP","AL","KCA","27","$-2.82","","","40","","","","","1","1","4.58","1.48",
"Padilla, Vicente","SP","AL","TEX","30","$-2.84","","","135","","","","","7","0","5.04","1.52",
"Wolfe, Brian","RP","AL","TOR","28","$-2.85","","","45","","","","","1","1","4.76","1.45",
"Marte, Andy","3B","AL","CLE","24","$-2.90","154","138","","5","21","0","0.245","","","","",
"Jimerson, Charlton","LF","AL","SEA","28","$-2.93","104","95","","3","11","4","0.222","","","","",
"Scutaro, Marco","3B,SS","AL","TOR","32","$-2.94","169","148","","3","16","1","0.257","","","","",
"Wells, Randy","Swing","AL","TOR","25","$-2.99","","","45","","","","","2","0","4.62","1.50",
"Thompson, Richard","Swing","AL","LAA","23","$-3.04","","","35","","","","","1","0","4.65","1.42",
"Aybar, Willy","3B","AL","TBA","25","$-3.05","165","147","","3","17","1","0.253","","","","",
"Shoppach, Kelly","C","AL","CLE","28","$-3.08","176","157","","6","22","0","0.230","","","","",
"Yabuta, Yasuhiko","RP","AL","KCA","35","$-3.15","","","50","","","","","1","1","4.73","1.49",
"Stewart, Shannon","LF","AL","TOR","34","$-3.20","127","115","","2","13","1","0.276","","","","",
"Ensberg, Morgan","3B","AL","NYA","32","$-3.26","127","107","","5","18","0","0.246","","","","",
"Bruney, Brian","RP","AL","NYA","26","$-3.33","","","40","","","","","2","0","4.59","1.54",
"Guthrie, Jeremy","SP","AL","BAL","29","$-3.34","","","150","","","","","7","0","5.18","1.50",
"Tomko, Brett","Swing","AL","KCA","35","$-3.39","","","95","","","","","4","0","5.11","1.49",
"Guzman, Joel","3B","AL","TBA","23","$-3.39","137","126","","3","16","2","0.232","","","","",
"Cora, Alex","2B,SS","AL","BOS","32","$-3.39","200","182","","1","17","2","0.245","","","","",
"Barfield, Joshua","2B","AL","CLE","25","$-3.40","111","102","","2","11","2","0.260","","","","",
"Bannister, Brian","SP","AL","KCA","27","$-3.44","","","145","","","","","7","0","5.15","1.52",
"Gonzalez, Carlos","CF","AL","OAK","22","$-3.47","127","117","","3","15","1","0.251","","","","",
"Jennings, Jason","SP","AL","TEX","29","$-3.49","","","140","","","","","7","0","5.13","1.53",
"Quiroz, Guillermo","C","AL","BAL","26","$-3.54","190","175","","5","22","0","0.229","","","","",
"Barajas, Rod","C","AL","TOR","32","$-3.60","185","165","","5","21","0","0.229","","","","",
"Santiago, Ramon","SS","AL","DET","28","$-3.60","167","152","","1","14","2","0.249","","","","",
"Traber, Billy","Swing","AL","NYA","28","$-3.61","","","45","","","","","2","0","4.96","1.51",
"League, Brandon","RP","AL","TOR","25","$-3.62","","","45","","","","","2","0","4.73","1.54",
"Snyder, Kyle","RP","AL","BOS","30","$-3.64","","","45","","","","","2","0","4.93","1.51",
"Inge, Brandon","3B","AL","DET","31","$-3.66","131","116","","3","15","1","0.245","","","","",
"Corey, Bryan","RP","AL","BOS","34","$-3.72","","","35","","","","","1","0","4.70","1.50",
"Depaula, Julio","RP","AL","MIN","25","$-3.73","","","65","","","","","2","1","4.79","1.56",
"Perkins, Glen","Swing","AL","MIN","25","$-3.75","","","80","","","","","3","1","4.98","1.54",
"Zobrist, Ben","SS","AL","TBA","27","$-3.77","157","137","","1","12","2","0.251","","","","",
"White, Sean","RP","AL","SEA","27","$-3.84","","","50","","","","","1","0","4.56","1.52",
"De Los Santos, Faustino","SP","AL","OAK","22","$-3.85","","","25","","","","","1","0","4.87","1.51",
"Molina, Jose","C","AL","NYA","33","$-3.85","167","153","","2","18","1","0.240","","","","",
"Bautista, Denny","Swing","AL","DET","27","$-3.90","","","60","","","","","3","0","4.81","1.58",
"Cali, Carmen","RP","AL","MIN","29","$-3.95","","","35","","","","","1","1","4.73","1.60",
"Cherry, Rocky","RP","AL","BAL","28","$-3.97","","","65","","","","","2","2","5.17","1.55",
"Rheinecker, John","RP","AL","TEX","29","$-3.99","","","70","","","","","3","0","4.97","1.54",
"Hansack, Devorn","RP","AL","BOS","30","$-4.03","","","45","","","","","2","0","5.21","1.51",
"Egbert, John","SP","AL","CHA","25","$-4.04","","","45","","","","","2","0","4.96","1.55",
"Floyd, Gavin","SP","AL","CHA","25","$-4.05","","","135","","","","","6","0","5.20","1.51",
"Niemann, Jeff","SP","AL","TBA","25","$-4.10","","","85","","","","","4","0","5.13","1.54",
"Musser, Neal","RP","AL","KCA","27","$-4.13","","","35","","","","","1","1","4.97","1.58",
"Mulvey, Kevin","Swing","AL","MIN","23","$-4.14","","","65","","","","","3","0","5.18","1.53",
"Birkins, Kurt","RP","AL","TBA","27","$-4.16","","","45","","","","","2","0","5.05","1.55",
"Fahey, Brandon","SS","AL","BAL","27","$-4.18","154","137","","0","10","3","0.239","","","","",
"Buscher, Brian","3B","AL","MIN","27","$-4.21","130","117","","2","13","1","0.245","","","","",
"Redmond, Mike","C","AL","MIN","37","$-4.22","148","136","","0","14","0","0.274","","","","",
"Moseley, Dustin","RP","AL","LAA","26","$-4.30","","","55","","","","","2","0","5.06","1.53",
"Shealy, Ryan","1B","AL","KCA","28","$-4.43","97","87","","3","13","0","0.250","","","","",
"Hall, Toby","C","AL","CHA","32","$-4.45","163","152","","2","17","0","0.243","","","","",
"Humber, Philip","SP","AL","MIN","25","$-4.46","","","40","","","","","1","0","5.22","1.50",
"Vasquez, Matt","SP","AL","DET","26","$-4.49","","","25","","","","","1","0","5.58","1.51",
"Lester, Jon","SP","AL","BOS","24","$-4.60","","","135","","","","","7","0","5.04","1.58",
"Kielty, Bobby","RF","AL","BOS","31","$-4.63","101","89","","2","12","0","0.260","","","","",
"Dinardo, Leonard","SP","AL","OAK","28","$-4.79","","","90","","","","","4","0","5.11","1.56",
"Sowers, Jeremy","SP","AL","CLE","25","$-4.82","","","55","","","","","2","0","5.31","1.53",
"Carroll, Jamey","2B,3B","AL","CLE","34","$-4.86","111","96","","0","8","2","0.246","","","","",
"Redman, Tike","CF","AL","BAL","31","$-4.87","67","61","","0","5","2","0.268","","","","",
"Clement, Jeffrey","C","AL","SEA","24","$-4.94","97","87","","2","12","0","0.249","","","","",
"Adams, Russ","3B","AL","TOR","27","$-4.99","99","89","","1","9","1","0.248","","","","",
"Olson, Garrett","SP","AL","BAL","24","$-5.01","","","125","","","","","5","0","5.05","1.56",
"Loewen, Adam","SP","AL","BAL","24","$-5.04","","","125","","","","","6","0","4.94","1.60",
"Banks, Josh","RP","AL","TOR","25","$-5.06","","","55","","","","","2","0","5.74","1.48",
"Tavarez, Julian","Swing","AL","BOS","35","$-5.12","","","80","","","","","4","0","5.27","1.58",
"Lowrie, Jed","SS","AL","BOS","24","$-5.12","95","83","","1","11","0","0.261","","","","",
"Cash, Kevin","C","AL","BOS","30","$-5.23","222","197","","4","23","0","0.205","","","","",
"Albers, Matthew","SP","AL","BAL","25","$-5.24","","","85","","","","","3","0","5.07","1.57",
"Bazardo, Yorman","Swing","AL","DET","23","$-5.26","","","45","","","","","2","0","5.47","1.58",
"Cairo, Miguel","1B,3B","AL","SEA","34","$-5.28","68","60","","0","5","2","0.247","","","","",
"Choo, Shin-Soo","RF","AL","CLE","25","$-5.31","63","56","","1","6","1","0.255","","","","",
"Jones, Garrett","RF","AL","MIN","27","$-5.39","108","99","","2","12","0","0.232","","","","",
"Duckworth, Brandon","RP","AL","KCA","32","$-5.42","","","35","","","","","1","0","5.47","1.59",
"Riggans, Shawn","C","AL","TBA","27","$-5.47","95","87","","2","10","0","0.237","","","","",
"Wilson, Vance","C","AL","DET","35","$-5.48","127","114","","2","12","0","0.230","","","","",
"Casey, Sean","1B","AL","BOS","33","$-5.50","68","62","","0","8","0","0.285","","","","",
"Gonzalez, Alberto","SS","AL","NYA","25","$-5.53","69","63","","0","6","1","0.261","","","","",
"Sweeney, Mike","DH","AL","OAK","34","$-5.61","69","62","","1","9","0","0.255","","","","",
"Danks, John","SP","AL","CHA","23","$-5.80","","","140","","","","","7","0","5.53","1.53",
"White, Bill","Swing","AL","TEX","29","$-5.83","","","45","","","","","1","1","5.11","1.68",
"Moss, Brandon","RF","AL","BOS","24","$-5.88","65","58","","1","8","0","0.247","","","","",
"Smith, Gregory","SP","AL","OAK","24","$-5.90","","","55","","","","","2","0","5.51","1.58",
"Burke, Jamie","C","AL","SEA","36","$-5.93","97","88","","1","9","0","0.237","","","","",
"Meyer, Daniel","RP","AL","OAK","26","$-5.94","","","75","","","","","3","0","5.54","1.56",
"Fasano, Sal","C","AL","TOR","36","$-6.00","61","56","","2","7","0","0.224","","","","",
"Bierd, Randor","RP","AL","BAL","24","$-6.03","","","65","","","","","2","0","5.23","1.60",
"Loe, Kameron","SP","AL","TEX","26","$-6.06","","","100","","","","","4","0","5.30","1.57",
"Thigpen, Curtis","C","AL","TOR","25","$-6.09","61","54","","1","6","0","0.247","","","","",
"Difelice, Mike","C","AL","TBA","39","$-6.31","95","86","","1","9","0","0.223","","","","",
"Metcalf, Travis","3B","AL","TEX","25","$-6.37","67","60","","1","7","0","0.226","","","","",
"Quinlan, Robb","1B","AL","LAA","31","$-6.55","33","30","","0","4","0","0.271","","","","",
"Sisco, Andrew","RP","AL","CHA","25","$-6.56","","","40","","","","","1","0","5.64","1.65",
"Gabbard, Kason","SP","AL","TEX","26","$-6.57","","","115","","","","","5","0","5.18","1.61",
"Hochevar, Luke","SP","AL","KCA","24","$-6.62","","","100","","","","","4","0","5.53","1.56",
"Reed, Jeremy","CF","AL","SEA","27","$-6.66","38","34","","0","3","0","0.267","","","","",
"Broadway, Lance","SP","AL","CHA","24","$-6.92","","","30","","","","","1","0","6.11","1.74",
"Melillo, Kevin","2B","AL","OAK","26","$-6.99","37","32","","0","3","0","0.236","","","","",
"Brignac, Reid","SS","AL","TBA","22","$-7.00","30","28","","0","3","0","0.235","","","","",
"Sarfate, Dennis","RP","AL","BAL","27","$-7.01","","","65","","","","","2","2","5.00","1.77",
"Jimenez, Cesar","RP","AL","SEA","23","$-7.06","","","60","","","","","2","0","5.55","1.64",
"Lucy, Donald","C","AL","CHA","25","$-7.07","32","29","","0","3","0","0.227","","","","",
"Budde, Ryan","C","AL","LAA","28","$-7.16","31","28","","0","3","0","0.216","","","","",
"Blackburn, Robert","SP","AL","MIN","26","$-7.25","","","60","","","","","2","0","5.99","1.58",
"Masset, Nicholas","RP","AL","CHA","26","$-7.26","","","40","","","","","1","0","5.90","1.68",
"Melhuse, Adam","C","AL","TEX","36","$-7.29","61","56","","0","5","0","0.206","","","","",
"Rupe, Joshua","RP","AL","TEX","25","$-7.30","","","55","","","","","2","0","5.62","1.67",
"Burres, Brian","RP","AL","BAL","27","$-7.55","","","55","","","","","2","0","5.79","1.66",
"Chacin, Gustavo","SP","AL","TOR","27","$-8.01","","","100","","","","","4","0","5.72","1.58",
"de la Rosa, Jorge","SP","AL","KCA","27","$-8.21","","","100","","","","","4","0","5.53","1.62",
"Dickey, R.a.","Swing","AL","SEA","33","$-8.31","","","90","","","","","3","0","5.65","1.61",
"Hernandez, Livan","SP","AL","MIN","33","$-8.95","","","150","","","","","6","0","5.54","1.58",
"Haeger, Charles","SP","AL","CHA","24","$-9.11","","","50","","","","","2","0","6.25","1.75",
"Adenhart, Nicholas","SP","AL","LAA","21","$-9.51","","","50","","","","","2","0","6.09","1.81",
"Davies, Kyle","SP","AL","KCA","24","$-9.97","","","115","","","","","5","0","5.73","1.64",
"Leicester, Jon","SP","AL","BAL","29","$-10.01","","","85","","","","","3","0","5.94","1.66",
"McCrory, Robert","RP","AL","BAL","26","$-11.95","","","55","","","","","2","0","6.34","1.89",
"Mendoza, Luis","SP","AL","TEX","24","$-13.99","","","65","","","","","2","0","6.99","1.80",
"Trachsel, Steve","SP","AL","BAL","37","$-15.78","","","100","","","","","3","0","6.28","1.77",
